Door Knockers — source transcript
Approximate timings; uncertainty markers are not sung words.

0.0–1.8  K.K. Knockers!
2.1–4.9  Big knockers, small knockers, long knockers too.
4.9–8.6  Funny little knockers staring back at you.
8.6–12.1  Brass knockers, iron knockers, some as big as your head.
12.1–14.8  On the door, I said.
15.8–19.2  Polish your knockers, give them a shine.
19.2–22.7  Show me your knockers, I’ll show you mine.
22.7–23.6  Knock, knock!
24.2–25.2  Who’s there?
25.4–26.5  Door furniture.
26.5–27.4  Behave!
27.4–35.9  Musical tail; no further intelligible words recovered.
